"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"0","387.0480384355677","467.10228872202964","0.0146484375","0.0166015625","0.0126953125","2400","0.00014618962816033578","32","0.00014618962816033578","0","0.00014618962816033578","0.00014618962816033578","1:0.0012861294169157489;10:0.0010751878724762076","1:128;10:128","0.0146484375","Yes"
"1","380.68325560014824","422.62270437709975","0.0103759765625","0.01318359375","0.007568359375","2400","0.0001701894398790076","32","0.0001701894398790076","0","0.0001701894398790076","0.0001701894398790076","2:0.0015907403753474547;11:0.0019231437963023734;0:0.0012861294169157489","2:128;11:128;0:128","0.0103759765625","Yes"
"2","235.4053667928276","83.846941958075","0.0118408203125","0.01904296875","0.004638671875","2400","0.00016013913461107872","32","0.00016013913461107872","0","0.00016013913461107872","0.00016013913461107872","1:0.0015907403753474547;3:0.0019329584139610445;12:0.0020561753047450837","1:128;3:128;12:148","0.0118408203125","Yes"
"3","343.7164230881882","404.5660291849457","0.0120849609375","0.01416015625","0.009765625","2400","0.000083146912172596","32","0.000083146912172596","0","0.000083146912172596","0.000083146912172596","13:0.0018069158213116776;2:0.0019329584139610445;4:0.001708810266781352","13:128;2:128;4:128","0.0120849609375","Yes"
"4","455.66200861624327","332.38314384474364","0.0201416015625","0.029052734375","0.01123046875","2400","0.00013521009142060544","32","0.00013521009142060544","0","0.00013521009142060544","0.00013521009142060544","3:0.001708810266781352;5:0.001177634074759265;14:0.003022095439889072","3:128;5:148;14:228","0.0201416015625","Yes"
"5","291.26372308922663","390.8698595596608","0.0079345703125","0.011474609375","0.00439453125","2400","0.00013138807000859842","32","0.00013138807000859842","0","0.00013138807000859842","0.00013138807000859842","6:0.031579349461186484;4:0.001177634074759265;15:0.0014805652820213955","6:128;4:148;15:128","0.0079345703125","Yes"
"6","15.992215529270608","34.37110158974586","0.02392578125","0.0458984375","0.001953125","2400","0.001443400281760928","32","0.001443400281760928","0","0.001443400281760928","0.001443400281760928","5:0.031579349461186484;7:0.17262195849156844","5:128;7:128;16:488","0.02392578125","Yes"
"7","110.85719522094668","191.5715321683788","0.03515625","0.017333984375","0.052978515625","2400","0.00023913535510819642","32","0.00023913535510819642","0","0.00023913535510819642","0.00023913535510819642","17:0.0036626265898136445;6:0.17262195849156844;8:0.0018848714754073903","17:128;6:128;8:128","0.03515625","Yes"
"8","458.81671565440416","324.267038041912","0.1031494140625","0.008544921875","0.19775390625","2400","0.00018386791392236966","32","0.00018386791392236966","0","0.00018386791392236966","0.00018386791392236966","9:0.002683696705605615;18:0.0012828462319061373;7:0.0018848714754073903","9:128;18:128;7:128","0.1031494140625","Yes"
"9","263.0974131780887","364.9324957865573","0.0123291015625","0.0166015625","0.008056640625","2400","0.00010526259859615621","32","0.00010526259859615621","0","0.00010526259859615621","0.00010526259859615621","8:0.002683696705605615;19:0.0018841408331155551","8:128;19:128","0.0123291015625","Yes"
"10","393.1196721547715","433.25547249096894","0.010986328125","0.012939453125","0.009033203125","2400","0.0002936740607485083","32","0.0002936740607485083","0","0.0002936740607485083","0.0002936740607485083","20:0.0012485015045362313;11:0.0012615771942956766;0:0.0010751878724762076","20:128;11:128;0:128","0.010986328125","Yes"
"11","263.6831417615264","318.57379674856","0.0068359375","0.006591796875","0.007080078125","2400","0.0001192104313035216","32","0.0001192104313035216","0","0.0001192104313035216","0.0001192104313035216","1:0.0019231437963023734;10:0.0012615771942956766;12:0.0015997389305107967;21:0.003992721268922861","1:128;10:128;12:128;21:128","0.0068359375","Yes"
"12","268.61862373295855","182.93510578476648","0.0196533203125","0.022705078125","0.0166015625","2400","0.00011092965438308523","32","0.00011092965438308523","0","0.00011092965438308523","0.00011092965438308523","13:0.0013985534270247735;22:0.0034835917005774375;2:0.0020561753047450837;11:0.0015997389305107967","13:148;22:208;2:148;11:128","0.0196533203125","Yes"
"13","486.5149937066094","481.4583964173769","0.00634765625","0.00634765625","0.00634765625","2400","0.0000902126924227513","32","0.0000902126924227513","0","0.0000902126924227513","0.0000902126924227513","3:0.0018069158213116776;12:0.0013985534270247735;14:0.0024085395943460597;23:0.0028218938083088285","3:128;12:148;14:268;23:228","0.00634765625","Yes"
